source,speaker,srate,token,syllable,vowel,onset,offset,DeltaHeightMin,DeltaHeightMax,LaDuration_v1,LaDuration,comments,,
2015_06_12_19_F_03_1_001_sync,F03,100,cal.b,coda,ae,7.69721935,7.90710971,8,22,140,140,black - right dominant - 99,,
2015_06_12_19_F_03_1_001_sync,F03,100,til.b,coda,ih,15.51199493,15.74961487,1,20,190,190,,,
2015_06_12_19_F_03_1_001_sync,F03,100,kil.b,coda,ih,18.20479687,18.4649837,1,21,200,200,,,
2015_06_12_19_F_03_1_001_sync,F03,100,al.b,coda,ae,21.05497492,21.36465878,12,22,100,100,,,
2015_06_12_19_F_03_1_001_sync,F03,100,kib.l,onset,ih,24.30714914,24.53262711,1,15,140,140,,,
2015_06_12_19_F_03_1_001_sync,F03,100,tal.b,coda,ae,27.09809706,27.40128335,1,19,180,180,,,
2015_06_12_19_F_03_1_001_sync,F03,100,il.b,coda,ih,32.57977468,32.88107344,1,24,230,230,,,
2015_06_12_19_F_03_1_001_sync,F03,100,tab.l,onset,ae,43.76466404,44.00276666,1,15,140,140,,,
2015_06_12_19_F_03_1_001_sync,F03,100,tib.l,onset,ih,46.67993774,46.90208174,1,15,140,140,,,
2015_06_12_19_F_03_1_001_sync,F03,100,cab.l,onset,ae,52.24046537,52.49069654,1,15,140,140,,,
2015_06_12_19_F_03_1_002_sync,F03,100,tal.b,coda,ae,3.419829686,3.687296166,1,25,240,240,,,
2015_06_12_19_F_03_1_002_sync,F03,100,tib.l,onset,ih,8.253424289,8.457694632,1,12,110,110,,,
2015_06_12_19_F_03_1_002_sync,F03,100,tab.l,onset,ae,10.69544623,10.92145365,1,14,130,130,,,
2015_06_12_19_F_03_1_002_sync,F03,100,tab.l,onset,ae,26.13386597,26.37133025,1,18,170,170,,,
2015_06_12_19_F_03_1_002_sync,F03,100,cal.b,coda,ae,28.50242488,28.78201992,1,21,200,200,,,
2015_06_12_19_F_03_1_002_sync,F03,100,al.b,coda,ae,30.88739174,31.19571228,12,26,140,140,,,
2015_06_12_19_F_03_1_002_sync,F03,100,til.b,coda,ih,33.49689834,33.73883102,1,13,120,120,,,
2015_06_12_19_F_03_1_002_sync,F03,100,kil.b,coda,ih,38.21129583,38.44939845,1,25,240,240,,,
2015_06_12_19_F_03_1_002_sync,F03,100,il.b,coda,ih,42.96109369,43.25090224,9,24,150,150,,,
2015_06_12_19_F_03_1_002_sync,F03,100,kil.b,coda,ih,45.37506194,45.65146525,1,14,130,130,,,
2015_06_12_19_F_03_1_003_sync,F03,100,kib.l,onset,ih,4.437219799,4.669439282,1,14,130,130,,,
2015_06_12_19_F_03_1_003_sync,F03,100,kil.b,coda,ih,6.693190189,6.938314601,1,17,160,160,,,
2015_06_12_19_F_03_1_003_sync,F03,100,cal.b,coda,ae,9.089662839,9.353937595,1,22,210,210,,,
2015_06_12_19_F_03_1_003_sync,F03,100,til.b,coda,ih,11.50226751,11.72568819,1,9,80,80,,,
2015_06_12_19_F_03_1_003_sync,F03,100,al.b,coda,ae,13.81209873,14.13701625,7,21,140,140,,,
2015_06_12_19_F_03_1_003_sync,F03,100,il.b,coda,ih,25.78673917,26.06441917,1,20,190,190,,,
2015_06_12_19_F_03_1_003_sync,F03,100,tib.l,onset,ih,28.4099109,28.61864965,1,15,140,140,,,
2015_06_12_19_F_03_1_003_sync,F03,100,tal.b,coda,ae,31.05916837,31.30556947,9,31,220,220,,,
2015_06_12_19_F_03_1_003_sync,F03,100,cab.l,onset,ae,33.66118827,33.91844123,4,16,120,120,,,
2015_06_12_19_F_03_1_003_sync,F03,100,tab.l,onset,ae,46.01967903,46.25778164,1,15,140,140,,,
2015_06_12_19_F_03_1_004_sync,F03,100,cal.b,coda,ae,2.372345577,2.641088747,11,17,60,60,,,
2015_06_12_19_F_03_1_004_sync,F03,100,tab.l,onset,ae,4.599641041,4.832636901,1,17,160,160,,,
2015_06_12_19_F_03_1_004_sync,F03,100,til.b,coda,ih,6.995648481,7.24970972,1,20,190,190,,,
2015_06_12_19_F_03_1_004_sync,F03,100,kib.l,onset,ih,9.355443714,9.564820816,1,15,140,140,,,
2015_06_12_19_F_03_1_004_sync,F03,100,kil.b,coda,ih,11.71716966,11.99293463,1,14,130,130,,,
2015_06_12_19_F_03_1_004_sync,F03,100,il.b,coda,ih,18.84444722,19.1304257,7,29,220,220,,,
2015_06_12_19_F_03_1_004_sync,F03,100,cab.l,onset,ae,23.81311042,24.06078821,1,17,160,160,,,
2015_06_12_19_F_03_1_004_sync,F03,100,al.b,onset,ae,30.79765879,31.07150872,5,22,170,170,,,
2015_06_12_19_F_03_1_004_sync,F03,100,tal.b,coda,ae,33.27456272,33.60841706,9,21,120,120,,,
2015_06_12_19_F_03_1_004_sync,F03,100,tib.l,onset,ih,39.99809886,40.21066768,1,16,150,150,,,
2015_06_12_19_F_03_1_005_sync,F03,100,tal.b,coda,ae,4.135997721,4.403464201,5,21,160,160,,,
2015_06_12_19_F_03_1_005_sync,F03,100,il.b,coda,ih,8.709872523,8.986275831,1,20,190,190,,,
2015_06_12_19_F_03_1_005_sync,F03,100,til.b,coda,ih,11.12402977,11.37043087,1,20,190,190,,,
2015_06_12_19_F_03_1_005_sync,F03,100,al.b,coda,ae,13.37530656,13.67086021,9,31,220,220,,,
2015_06_12_19_F_03_1_005_sync,F03,100,tab.l,onset,ae,18.0800204,18.30867339,1,15,140,140,,,
2015_06_12_19_F_03_1_005_sync,F03,100,tib.l,onset,ih,20.56925925,20.76885689,1,14,130,130,,,
2015_06_12_19_F_03_1_005_sync,F03,100,cal.b,coda,ae,29.7141778,29.96746468,7,25,180,180,,,
2015_06_12_19_F_03_1_005_sync,F03,100,kib.l,onset,ih,32.05126187,32.25591262,3,14,110,110,,,
2015_06_12_19_F_03_1_005_sync,F03,100,kil.b,coda,ih,36.9910927,37.23616828,3,19,160,160,,,
2015_06_12_19_F_03_1_005_sync,F03,100,cab.l,onset,ae,43.86319796,44.10827354,5,16,110,110,,,
2015_06_12_19_F_03_1_006_sync,F03,100,tib.l,onset,ih,2.222654168,2.434924102,1,9,80,80,,,
2015_06_12_19_F_03_1_006_sync,F03,100,cab.l,onset,ae,4.608352961,4.847563425,1,9,80,80,,,
2015_06_12_19_F_03_1_006_sync,F03,100,tal.b,coda,ae,9.434817587,9.689313939,1,8,70,70,,,
2015_06_12_19_F_03_1_006_sync,F03,100,kil.b,coda,ih,11.73814707,11.97441689,1,4,30,30,,,
2015_06_12_19_F_03_1_006_sync,F03,100,kib.l,onset,ih,14.06915399,14.29058755,1,9,80,80,,,
2015_06_12_19_F_03_1_006_sync,F03,100,il.b,coda,ih,16.33518971,16.60858765,1,19,180,180,,,
2015_06_12_19_F_03_1_006_sync,F03,100,tab.l,onset,ae,21.09037681,21.33672119,4,20,160,160,,,
2015_06_12_19_F_03_1_006_sync,F03,100,al.b,coda,ae,32.60899835,32.89522236,4,20,160,160,,,
2015_06_12_19_F_03_1_006_sync,F03,100,til.b,coda,ih,37.2492445,37.47403836,1,21,200,200,,,
2015_06_12_19_F_03_1_006_sync,F03,100,cal.b,coda,ae,39.51911735,39.78778989,1,15,140,140,,,
2015_06_12_19_F_03_1_007_sync,F03,100,til.b,coda,ih,7.3092965,7.540840927,1,23,220,220,,,
2015_06_12_19_F_03_1_007_sync,F03,100,kib.l,onset,ih,9.653212382,9.889482205,1,16,150,150,,,
2015_06_12_19_F_03_1_007_sync,F03,100,tib.l,onset,ih,18.73599049,18.94396955,1,14,130,130,,,
2015_06_12_19_F_03_1_007_sync,F03,100,il.b,coda,ih,20.99723218,21.2584791,1,14,130,130,,,
2015_06_12_19_F_03_1_007_sync,F03,100,al.b,coda,ae,23.24668767,23.55991395,10,31,210,210,,,
2015_06_12_19_F_03_1_007_sync,F03,100,tal.b,coda,ae,25.7745626,26.02500861,9,23,140,140,,,
2015_06_12_19_F_03_1_007_sync,F03,100,kil.b,coda,ih,28.07873296,28.35145584,1,28,270,270,,,
2015_06_12_19_F_03_1_007_sync,F03,100,tab.l,onset,ae,30.39037645,30.63609706,1,16,150,150,,,
2015_06_12_19_F_03_1_007_sync,F03,100,cal.b,coda,ae,32.82247618,33.08237298,7,20,130,130,,,
2015_06_12_19_F_03_1_007_sync,F03,100,cab.l,onset,ae,35.18274419,35.42941471,1,16,150,150,,,
2015_06_12_19_F_03_1_008_sync,F03,100,tab.l,onset,ae,10.73078739,10.98557836,3,17,140,140,,,
2015_06_12_19_F_03_1_008_sync,F03,100,tal.b,coda,ae,17.68645572,17.94200644,10,26,160,160,,,
2015_06_12_19_F_03_1_008_sync,F03,100,til.b,coda,ih,19.9910966,20.24664732,1,32,310,310,,,
2015_06_12_19_F_03_1_008_sync,F03,100,il.b,coda,ih,22.41004182,22.7112529,1,17,160,160,,,
2015_06_12_19_F_03_1_008_sync,F03,100,kil.b,coda,ih,27.28058469,27.52361564,1,28,270,270,,,
2015_06_12_19_F_03_1_008_sync,F03,100,tib.l,onset,ih,29.68667534,29.92307817,1,14,130,130,,,
2015_06_12_19_F_03_1_008_sync,F03,100, cab.l,onset,ae,35.8064276,36.05375468,1,14,130,130,,,
2015_06_12_19_F_03_1_008_sync,F03,100,cal.b,coda,ae,38.36349717,38.61664341,1,15,140,140,,,
2015_06_12_19_F_03_1_008_sync,F03,100,al.b,coda,ae,40.69163789,40.97853696,8,21,130,130,,,
2015_06_12_19_F_03_1_008_sync,F03,100,kib.l,onset,ih,43.25318156,43.48691785,3,16,130,130,,,
2015_06_12_19_F_03_1_009_sync,F03,100,al.b,coda,ae,1.870274604,2.151098164,5,23,180,180,,,
2015_06_12_19_F_03_1_009_sync,F03,100,tal.b,coda,ae,4.436588955,4.677584174,11,23,120,120,,,
2015_06_12_19_F_03_1_009_sync,F03,100,kib.l,onset,ih,6.807210928,7.050231317,2,16,140,140,,,
2015_06_12_19_F_03_1_009_sync,F03,100,cal.b,coda,ae,9.156195774,9.418455277,5,17,120,120,,,
2015_06_12_19_F_03_1_009_sync,F03,100,cab.l,onset,ae,11.78060358,12.05197635,7,23,160,160,,,
2015_06_12_19_F_03_1_009_sync,F03,100,tab.l,onset,ae,16.41781792,16.67197675,3,18,150,150,,,
2015_06_12_19_F_03_1_009_sync,F03,100,til.b,coda,ih,21.09287191,21.33184196,1,26,250,250,,,
2015_06_12_19_F_03_1_009_sync,F03,100,il.b,coda,ih,23.40831698,23.66247581,2,15,130,130,,,
2015_06_12_19_F_03_1_009_sync,F03,100,tib.l,onset,ih,30.28266951,30.50847596,1,15,140,140,,,
2015_06_12_19_F_03_1_009_sync,F03,100,kil.b,coda,ih,34.84912266,35.09062417,1,18,170,170,,,
2015_06_12_19_F_03_1_010_sync,F03,100,tab.l,onset,ae,1.746401711,1.9894221,1,14,130,130,,,
2015_06_12_19_F_03_1_010_sync,F03,100,cab.l,onset,ae,4.23588103,4.511979194,7,22,150,150,,,
2015_06_12_19_F_03_1_010_sync,F03,100,tal.b,coda,ae,6.61022187,6.855942486,11,18,70,70,,,
2015_06_12_19_F_03_1_010_sync,F03,100,cal.b,coda,ae,9.023419945,9.252264144,3,23,200,200,,,
2015_06_12_19_F_03_1_010_sync,F03,100,al.b,coda,ae,11.2894555,11.59525616,14,34,200,200,,,
2015_06_12_19_F_03_1_010_sync,F03,100,tib.l,onset,ih,23.48201233,23.70410597,1,13,120,120,,,
2015_06_12_19_F_03_1_010_sync,F03,100,kib.l,onset,ih,26.06431794,26.28506146,1,14,130,130,,,
2015_06_12_19_F_03_1_010_sync,F03,100,til.b,coda,ih,28.51818506,28.73420319,2,22,200,200,,,
2015_06_12_19_F_03_1_010_sync,F03,100,kil.b,coda,ih,30.91248141,31.16022719,1,24,230,230,,,
2015_06_16_21_F_04_1_001_sync,F04,100,tal.b,coda,ae,11.68711089,11.94430746,2,18,160,160,,red - left dominant - 13,
2015_06_16_21_F_04_1_001_sync,F04,100,cal.b,coda,ae,14.03026852,14.30096623,6,19,130,130,,black - right dominant - 69,
2015_06_16_21_F_04_1_001_sync,F04,100,til.b,coda,ih,20.56255672,20.78397529,1,8,70,70,,bad - 6,
2015_06_16_21_F_04_1_001_sync,F04,100,tib.l,onset,ih,22.86512833,23.07709612,1,18,170,170,,,
2015_06_16_21_F_04_1_001_sync,F04,100,al.b,coda,ae,25.07985954,25.36743367,1,16,150,150,,,
2015_06_16_21_F_04_1_001_sync,F04,100,cab.l,onset,ae,27.38732222,27.69649816,3,28,250,250,,,
2015_06_16_21_F_04_1_001_sync,F04,100,tab.l,onset,ae,29.76144982,30.03754798,1,28,270,270,,,
2015_06_16_21_F_04_1_001_sync,F04,100,til.b,coda,ih,36.66257983,36.88264829,1,6,50,50,,,
2015_06_16_21_F_04_1_002_sync,F04,100,il.b,coda,ih,7.756273615,8.026296269,4,21,170,170,,,
2015_06_16_21_F_04_1_002_sync,F04,100,tab.l,onset,ae,9.886368385,10.15099059,2,21,190,190,,,
2015_06_16_21_F_04_1_002_sync,F04,100,tib.l,onset,ih,14.31949021,14.55373486,5,18,130,130,,,
2015_06_16_21_F_04_1_002_sync,F04,100,cal.b,coda,ae,24.80658156,25.06040285,1,17,160,160,,,
2015_06_16_21_F_04_1_002_sync,F04,100,til.b,coda,ih,29.0601859,29.29645572,7,26,190,190,,,
2015_06_16_21_F_04_1_002_sync,F04,100,tal.b,coda,ae,31.14023744,31.37920749,6,17,110,110,,,
2015_06_16_21_F_04_1_002_sync,F04,100,tib.l,onset,ih,40.22537751,40.47784869,4,18,140,140,,,
2015_06_16_21_F_04_1_003_sync,F04,100,til.b,coda,ih,2.87072662,3.084044517,9,14,50,50,,,
2015_06_16_21_F_04_1_003_sync,F04,100,cal.b,coda,ae,12.81898648,13.09981004,5,25,200,200,,,
2015_06_16_21_F_04_1_003_sync,F04,100,tib.l,onset,ih,16.81184124,17.07511332,19,28,90,90,,,
2015_06_16_21_F_04_1_003_sync,F04,100,til.b,coda,ih,24.7109777,24.90134367,5,11,60,60,,,
2015_06_16_21_F_04_1_003_sync,F04,100,tal.b,coda,ae,31.02538862,31.25220765,1,18,170,170,,,
2015_06_16_21_F_04_1_003_sync,F04,100,al.b,coda,ae,32.98738812,33.27901258,6,27,210,210,,,
2015_06_16_21_F_04_1_003_sync,F04,100,tib.l,onset,ih,37.10504545,37.39666991,1,5,40,40,,,
2015_06_16_21_F_04_1_004_sync,F04,100,tab.l,onset,ae,11.21861718,11.49066501,1,24,230,230,,,
2015_06_16_21_F_04_1_004_sync,F04,100,til.b,coda,ih,13.38262457,13.60404315,3,10,70,70,,,
2015_06_16_21_F_04_1_004_sync,F04,100,tal.b,coda,ae,23.45032948,23.68659931,2,14,120,120,,,
2015_06_16_21_F_04_1_004_sync,F04,100,il.b,coda,ih,25.40768666,25.65171964,1,26,250,250,,,
2015_06_16_21_F_04_1_004_sync,F04,100,al.b,coda,ae,27.37762116,27.64224336,1,23,220,220,,,
2015_06_16_21_F_04_1_004_sync,F04,100,tib.l,onset,ih,29.40577655,29.64069626,4,24,200,200,,,
2015_06_16_21_F_04_1_004_sync,F04,100,cab.l,onset,ae,33.49297423,33.79674971,9,29,200,200,,,
2015_06_16_21_F_04_1_004_sync,F04,100,tib.l,onset,ih,35.68702784,35.94489948,1,10,90,90,,,
2015_06_16_21_F_04_1_004_sync,F04,100,til.b,coda,ih,37.77788055,37.98849822,11,21,100,100,,,
2015_06_16_21_F_04_1_004_sync,F04,100,tal.b,coda,ae,40.55814381,40.80521454,4,15,110,110,,,
2015_06_16_21_F_04_1_005_sync,F04,100,kil.b,coda,ih,5.202325625,5.422394089,13,24,110,110,,,
2015_06_16_21_F_04_1_005_sync,F04,100,il.b,coda,ih,7.161535921,7.432908689,12,28,160,160,,,
2015_06_16_21_F_04_1_005_sync,F04,100,tal.b,coda,ae,11.19607876,11.46205108,1,9,80,80,,,
2015_06_16_21_F_04_1_005_sync,F04,100,tab.l,onset,ae,15.13670593,15.40132813,1,9,80,80,,,
2015_06_16_21_F_04_1_005_sync,F04,100,cab.l,onset,ae,19.06420458,19.3160007,4,10,60,60,,,
2015_06_16_21_F_04_1_005_sync,F04,100,tib.l,onset,ih,21.07438784,21.30255698,16,28,120,120,,,
2015_06_16_21_F_04_1_005_sync,F04,100,til.b,coda,ih,27.44685402,27.66574416,1,12,110,110,,,
2015_06_16_21_F_04_1_005_sync,F04,100,tib.l,onset,ih,35.66141406,35.89835894,18,31,130,130,,,
2015_06_16_21_F_04_1_005_sync,F04,100,al.b,coda,ae,37.45304459,37.73116792,13,21,80,80,,,
2015_06_16_21_F_04_1_006_sync,F04,100,til.b,coda,ih,2.595992791,2.801210009,13,20,70,70,,,
2015_06_16_21_F_04_1_006_sync,F04,100,il.b,coda,ih,6.508338268,6.782411263,1,24,230,230,,,
2015_06_16_21_F_04_1_006_sync,F04,100,tib.l,onset,ih,8.422491854,8.625008845,1,17,160,160,,,
2015_06_16_21_F_04_1_006_sync,F04,100,cab.l,onset,ae,10.44458367,10.70110519,1,24,230,230,,,
2015_06_16_21_F_04_1_006_sync,F04,100,cab.l,onset,ae,11.07478709,11.32803693,1,23,220,220,,,
2015_06_16_21_F_04_1_006_sync,F04,100,al.b,coda,ae,12.92772706,13.17884813,1,16,150,150,,,
2015_06_16_21_F_04_1_006_sync,F04,100,kil.b,coda,ih,14.93023017,15.13004693,1,23,220,220,,,
2015_06_16_21_F_04_1_006_sync,F04,100,tab.l,onset,ae,24.55602093,24.81659279,9,30,210,210,,,
2015_06_16_21_F_04_1_006_sync,F04,100,kib.l,onset,ih,34.57528703,34.76970334,1,8,70,70,,,
2015_06_16_21_F_04_1_006_sync,F04,100,cal.b,coda,ae,36.58167471,36.86384838,1,19,180,180,,,
2015_06_16_21_F_04_1_007_sync,F04,100,tab.l,onset,ae,4.340852367,4.605474568,1,11,100,100,,,
2015_06_16_21_F_04_1_007_sync,F04,100,kib.l,onset,ih,8.103169112,8.30028565,8,19,110,110,,,
2015_06_16_21_F_04_1_007_sync,F04,100,cal.b,coda,ae,13.80435067,14.06081518,1,19,180,180,,,
2015_06_16_21_F_04_1_007_sync,F04,100,kil.b,coda,ih,15.56839754,15.80331725,1,15,140,140,,,
2015_06_16_21_F_04_1_007_sync,F04,100,cab.l,onset,ae,17.80996536,18.09078892,9,18,90,90,,,
2015_06_16_21_F_04_1_007_sync,F04,100,tal.b,coda,ae,23.42956488,23.66178436,28,43,150,150,,,
2015_06_16_21_F_04_1_007_sync,F04,100,al.b,coda,ae,25.42641875,25.71804322,6,19,130,130,,,
2015_06_16_21_F_04_1_007_sync,F04,100,il.b,coda,ih,33.0094094,33.23420326,7,19,120,120,,,
2015_06_16_21_F_04_1_007_sync,F04,100,tib.l,onset,ih,35.03874868,35.26016726,13,25,120,120,,,
2015_06_16_21_F_04_1_008_sync,F04,100,cal.b,coda,ae,4.096564701,4.354436336,1,16,150,150,,,
2015_06_16_21_F_04_1_008_sync,F04,100,il.b,coda,ih,7.920062918,8.18468512,1,16,150,150,,,
2015_06_16_21_F_04_1_008_sync,F04,100,al.b,coda,ae,9.875903909,10.15672747,1,11,100,100,,,
2015_06_16_21_F_04_1_008_sync,F04,100,tal.b,coda,ae,11.87587203,12.15129514,5,17,120,120,,,
2015_06_16_21_F_04_1_008_sync,F04,100,kib.l,onset,ih,15.9245077,16.15942741,3,11,80,80,,,
2015_06_16_21_F_04_1_008_sync,F04,100,tib.l,onset,ih,17.89747372,18.13509366,1,15,140,140,,,
2015_06_16_21_F_04_1_008_sync,F04,100,cab.l,onset,ae,22.24145241,22.51687552,3,19,160,160,,,
2015_06_16_21_F_04_1_008_sync,F04,100,cab.l,onset,ae,32.44475873,32.70398048,7,17,100,100,,,
2015_06_16_21_F_04_1_009_sync,F04,100,tal.b,coda,ae,2.955316098,3.213187733,33,52,190,190,,,
2015_06_16_21_F_04_1_009_sync,F04,100,tab.l,onset,ae,14.70765416,14.94122376,1,15,140,140,,,
2015_06_16_21_F_04_1_009_sync,F04,100,tib.l,onset,ih,16.57801175,16.80888112,16,30,140,140,,,
